extraction_id,raw_ocr_quote,corrected_quote,change_type,verification_status
ext001,"nearly 30,000 nands are ld)e, holf of whom are ac- tually on strike","nearly 30,000 hands are idle, half of whom are actually on strike",OCR correction / normalization,verified
ext002,seven of the i l big plants were Bhut down,seven of the big plants were shut down,OCR correction / normalization,verified
ext003,"are due to a general reduction in wages necessitated ... by a cut in the working time from 56 to 5-14 hours a week, by a new state law governing establlshments where women and children a.re employed","[the trouble is] due to a general reduction in wages ... by a cut in the working time from 56 to 54 hours a week, by a new state law governing establishments where women and children are employed",OCR correction / normalization,verified
ext004,Disorders before the gato of the great textile mills of Lawrence became so frequent and menacing,Disorders before the gate of the great textile mills of Lawrence became so frequent and menacing,OCR correction / normalization,verified
ext005,when a mob stormed several 'of the mills and Injured employes and prop- erty,when a mob stormed several of the mills and injured employees and property,OCR correction / normalization,verified
ext006,two companies of militia were called from the armory to assist the police in controlling the turbulent foreign operatives,two companies of militia were called from the armory to assist the police in controlling the turbulent foreign operatives,OCR correction / normalization,verified
ext007,ordered the militiamen to charge with bqyonets,ordered the militiamen to charge with bayonets,OCR correction / normalization,verified
ext008,The trouble ... are due to a general reduction in wages,The trouble ... [is] due to a general reduction in wages,OCR correction / normalization,verified
ext009,"the strike, by his people for better wages",[the strike] by his people for better wages,OCR correction / normalization,verified
ext010,calling for an Investigation of the,calling for an investigation of the [strike],OCR correction / normalization,verified
ext011,Sunday in the City Passes Very Quietly,Sunday in the city passes very quietly,OCR correction / normalization,verified
ext012,THE LAWRENCE STRIKE,The Lawrence Strike,OCR correction / normalization,verified
ext013,resolution for an immediate Congressional Investigation of tho charges,resolution for an immediate congressional investigation of the charges,OCR correction / normalization,verified
ext014,"hearings on the- an Investigation, will beheld by tho House RuliJ Committee Surft-duji","hearings on ... an investigation, will be held by the House Rules Committee Saturday",OCR correction / normalization,verified
ext015,Striker Wounded-Disorder Reigns In Early Morning ... Dozen Shots Fired at Police,Striker wounded - disorder reigns in early morning ... Dozen shots fired at police,OCR correction / normalization,verified
ext016,"Fending a congressional investigation, which is expected to start, some day tins week, in Washington","Pending a congressional investigation, which is expected to start some day this week in Washington",OCR correction / normalization,verified
ext017,"the district court was ip session far into the evening ... persons arrested, today",the district court was in session far into the evening ... persons arrested today,OCR correction / normalization,verified
ext018,"The House committee on rules will have a hearing, on Saturday, on the",The House committee on rules will have a hearing on Saturday on the [Lawrence strike],OCR correction / normalization,verified
ext019,Are you in sympathy with child labor? Do you believe children should take the place of men?,Are you in sympathy with child labor? Do you believe children should take the place of men?,OCR correction / normalization,verified
ext020,"attacks upon the houses ,.f people who ... refused to strike. Their doors have been broken down, windows broken, missiles have been thrown","attacks upon the houses of people who ... refused to strike. Their doors have been broken down, windows broken, missiles have been thrown",OCR correction / normalization,verified
ext021,wages compared approximately with the amounts related by the employes,[committee examined pay sheets;] wages compared approximately with the amounts related by the employees,OCR correction / normalization,verified
ext022,voted to recommend that the strike against certain of the mills be declared off because of the wage increases granted,voted to recommend that the strike against certain of the mills be declared off because of the wage increases granted,OCR correction / normalization,verified
ext023,"It is the greatest victory ever won by labor in this country, declared Haywood","'It is the greatest victory ever won by labor in this country,' declared Haywood",OCR correction / normalization,verified
ext024,have nearly all grant ed increases in wages,have nearly all granted increases in wages,OCR correction / normalization,verified
ext025,"the rioting occurred, resulting in. the calling out of the militia","the rioting occurred, resulting in the calling out of the militia",OCR correction / normalization,verified
